-17.61,-36.33,14.930
-19.14,-39.45,15.539
-18.95,-37.30,15.082
-16.84,-37.11,14.320
-17.42,-37.30,15.082
-18.57,-38.48,15.996
-16.84,-38.67,15.234
-19.14,-35.94,15.539
-18.95,-37.30,15.996
-18.18,-37.70,14.777
-17.04,-38.48,15.387
-17.80,-36.91,15.996
-18.38,-39.45,15.539
-20.48,-38.48,15.082
-19.14,-37.11,16.148
-16.08,-37.89,15.844
-18.57,-37.30,15.691
-18.38,-39.06,15.539
-17.99,-37.89,15.234
-18.38,-37.11,15.844
-19.33,-37.70,14.473
-18.57,-38.09,15.691
-19.14,-36.33,15.844
-16.84,-38.28,15.844
-17.42,-37.30,15.996
-17.42,-38.48,15.082
-19.14,-39.06,16.148
-17.04,-38.48,15.082
-17.61,-36.72,15.234
-18.38,-38.67,15.539
-18.57,-36.52,15.387
-17.23,-37.50,15.844
-17.99,-38.28,15.234
-16.84,-37.50,14.930
-17.04,-37.70,15.691
-17.99,-37.50,15.539
-18.18,-38.48,15.387
-17.80,-36.52,16.910
-19.14,-37.11,15.844
-19.71,-36.13,17.520
-18.95,-36.91,15.082
-17.61,-39.45,14.016
-19.52,-39.06,15.539
-18.76,-38.28,14.625
-17.99,-39.06,16.148
-18.18,-38.87,15.387
-16.46,-37.50,16.148
-17.42,-39.26,15.387
-17.04,-38.09,15.996
-19.33,-37.70,15.387
-17.42,-37.70,15.691
-17.80,-37.70,14.777
-17.61,-36.72,14.930
-18.76,-38.28,16.453
-18.95,-38.09,15.387
-18.38,-38.28,15.844
-18.18,-39.65,16.605
-17.04,-36.91,15.387
-17.99,-37.11,15.844
-17.42,-37.70,15.691
-17.04,-37.30,15.082
-19.52,-37.89,14.320
-18.18,-36.52,15.691
-17.99,-37.50,14.930
-17.61,-37.89,15.539
-16.84,-38.67,15.844
-17.99,-37.11,14.930
-17.42,-36.91,15.996
-18.57,-37.70,15.082
-18.57,-38.87,16.301
-18.38,-37.89,15.234
-17.61,-38.28,14.320
-18.38,-38.67,14.625
-19.14,-37.11,14.930
-17.23,-36.72,14.320
-19.14,-37.50,15.844
-18.57,-37.30,15.387
-17.23,-37.11,16.453
-18.38,-39.45,16.148
-18.95,-37.70,13.863
-17.80,-38.09,14.473
-18.76,-36.33,15.844
-15.89,-38.09,14.168
-18.18,-38.09,15.387
-18.76,-38.28,15.844
-17.61,-38.67,14.625
-18.57,-37.70,15.387
-17.99,-37.89,14.625
-17.99,-37.89,16.453
-18.18,-36.91,14.777
-18.95,-39.65,17.215
-18.95,-37.30,15.387
-17.04,-38.87,14.777
-17.61,-39.45,14.930
-16.84,-36.72,15.539
-17.80,-37.30,15.691
-17.99,-36.72,16.453
-18.95,-37.30,15.082
-17.42,-38.87,15.691
-17.42,-39.26,15.691
-17.23,-38.67,15.539
-18.38,-38.28,16.453
-19.14,-37.50,15.234
-18.57,-37.70,15.082
-17.04,-37.70,15.691
